sex,height,weight,exp,max_boulder,max_sport,days,maxhang,pullup,weightedpull,max_boulder_numeric,max_sport_numeric,strength_to_weight_pullup,strength_to_weight_weightpull,strength_to_weight_maxhang,pushup,bmi_score,max_sport_french,ohll,trainexp,longcamp,ohpr,age,dl,shortcamp,span,continuous,season,repeaters1
1,174.3,61.7,3,V5,0,4,0.0,20,0.0,4.0,0.0,0.3241491085899514,1.0,1.0,,,,,,,,,,,,,,
1,188.0,86.0,2,V5,0,8,29.0,18,0.0,4.0,0.0,0.20930232558139536,1.0,1.3372093023255813,,,,,,,,,,,,,,
1,193.0,91.5,4,V7,0,8,22.5,0,0.0,6.0,0.0,0.0,1.0,1.2459016393442623,,,,,,,,,,,,,,
1,172.72,55.0,1,V4,0,8,0.0,17,25.0,3.0,0.0,0.3090909090909091,1.4545454545454546,1.0,,,,,,,,,,,,,,
1,180.0,81.0,10,V7,8a,12,35.0,0,0.0,6.0,17.0,0.0,1.0,1.4320987654320987,,,,,,,,,,,,,,
1,110.0,60.0,1,V6,5a,20,0.0,30,15.0,5.0,2.0,0.5,1.25,1.0,,,,,,,,,,,,,,
1,180.0,68.0,1,V6,0,12,20.0,15,25.5,5.0,0.0,0.22058823529411764,1.375,1.2941176470588236,,,,,,,,,,,,,,
1,182.0,76.0,4,V9,8b,12,36.0,27,45.0,8.0,19.0,0.35526315789473684,1.5921052631578947,1.4736842105263157,,,,,,,,,,,,,,
1,186.0,74.0,10,V9,0,12,30.0,15,25.0,8.0,0.0,0.20270270270270271,1.337837837837838,1.4054054054054055,,,,,,,,,,,,,,
1,178.0,75.0,1,V3,7a+,8,0.0,0,0.0,2.0,12.0,0.0,1.0,1.0,,,,,,,,,,,,,,
1,187.0,80.0,3,V2,5c,8,0.0,5,10.0,,4.0,0.0625,1.125,1.0,,,,,,,,,,,,,,
2,165.0,52.0,13,V8,7c+,20,28.0,15,8.0,7.0,16.0,0.28846153846153844,1.1538461538461537,1.5384615384615385,,,,,,,,,,,,,,
1,168.0,61.6,3,V9,0,12,50.0,0,25.0,8.0,0.0,0.0,1.4058441558441557,1.8116883116883116,,,,,,,,,,,,,,
1,183.0,68.0,15,V6,7b,12,40.0,0,0.0,5.0,13.0,0.0,1.0,1.588235294117647,,,,,,,,,,,,,,
1,173.0,69.0,15,V7,7b+,12,0.0,0,0.0,6.0,14.0,0.0,1.0,1.0,,,,,,,,,,,,,,
1,182.0,78.0,1,V5,7a+,16,5.0,18,0.0,4.0,12.0,0.23076923076923078,1.0,1.064102564102564,,,,,,,,,,,,,,
1,190.0,77.0,8,V8,7c+,24,17.0,15,9.0,7.0,16.0,0.19480519480519481,1.1168831168831168,1.2207792207792207,,,,,,,,,,,,,,
1,170.0,62.0,5,V11,8a+,12,0.0,0,0.0,10.0,18.0,0.0,1.0,1.0,,,,,,,,,,,,,,
1,160.0,56.0,11,V8,8b,12,36.0,35,32.0,7.0,19.0,0.625,1.5714285714285714,1.6428571428571428,,,,,,,,,,,,,,
1,180.0,72.0,7,V11,7c,16,50.0,23,90.0,10.0,15.0,0.3194444444444444,2.25,1.6944444444444444,,,,,,,,,,,,,,
1,182.0,78.0,1,V7,0,20,0.0,20,20.0,6.0,0.0,0.2564102564102564,1.2564102564102564,1.0,,,,,,,,,,,,,,
1,160.0,56.0,11,V8,8b,16,0.0,0,35.0,7.0,19.0,0.0,1.625,1.0,,,,,,,,,,,,,,
1,182.0,84.0,3,V7,6b+,16,32.0,12,40.0,6.0,8.0,0.14285714285714285,1.4761904761904763,1.380952380952381,,,,,,,,,,,,,,
1,185.0,77.0,4,V8,0,12,29.0,23,25.0,7.0,0.0,0.2987012987012987,1.3246753246753247,1.3766233766233766,,,,,,,,,,,,,,
1,174.0,59.0,4,V11,0,16,0.0,22,0.0,10.0,0.0,0.3728813559322034,1.0,1.0,,,,,,,,,,,,,,
1,180.0,71.0,1,V5,8a+,8,0.0,10,15.0,4.0,18.0,0.14084507042253522,1.2112676056338028,1.0,,,,,,,,,,,,,,
1,177.0,78.0,1,V1,7c,12,25.0,15,35.0,,15.0,0.19230769230769232,1.4487179487179487,1.3205128205128205,,,,,,,,,,,,,,
2,158.75,58.96,3,V3,6c,4,0.0,1,0.0,2.0,9.0,0.016960651289009497,1.0,1.0,,,,,,,,,,,,,,
1,172.0,65.0,15,V6,7c,12,0.0,15,0.0,5.0,15.0,0.23076923076923078,1.0,1.0,,,,,,,,,,,,,,
1,176.0,76.0,14,V7,7b+,8,0.0,25,21.0,6.0,14.0,0.32894736842105265,1.2763157894736843,1.0,,,,,,,,,,,,,,
1,181.0,68.0,2,V4,6c,12,0.0,13,0.0,3.0,9.0,0.19117647058823528,1.0,1.0,,,,,,,,,,,,,,
1,172.0,82.5,2,V7,6c,8,0.0,0,0.0,6.0,9.0,0.0,1.0,1.0,,,,,,,,,,,,,,
1,165.0,63.0,9,V11,8b,16,50.0,10,40.0,10.0,19.0,0.15873015873015872,1.6349206349206349,1.7936507936507937,,,,,,,,,,,,,,
1,164.0,68.0,5,V5,8a,8,40.0,25,40.0,4.0,17.0,0.36764705882352944,1.588235294117647,1.588235294117647,,,,,,,,,,,,,,
1,178.0,65.0,4,V7,7c,12,0.0,30,0.0,6.0,15.0,0.46153846153846156,1.0,1.0,,,,,,,,,,,,,,
1,172.0,53.0,7,V9,0,8,41.25,15,25.0,8.0,0.0,0.2830188679245283,1.471698113207547,1.778301886792453,,,,,,,,,,,,,,
1,180.0,78.0,15,V10,4b,12,0.0,0,0.0,9.0,,0.0,1.0,1.0,,,,,,,,,,,,,,
1,180.0,63.5,1,V4,6c,4,36.0,20,30.0,3.0,9.0,0.31496062992125984,1.4724409448818898,1.5669291338582678,,,,,,,,,,,,,,
1,172.0,57.0,2,V6,7b+,8,0.0,15,0.0,5.0,14.0,0.2631578947368421,1.0,1.0,,,,,,,,,,,,,,
1,201.1,89.0,3,V9,7b,16,70.0,30,40.0,8.0,13.0,0.33707865168539325,1.449438202247191,1.7865168539325842,,,,,,,,,,,,,,
1,186.0,67.0,14,V9,0,4,27.0,17,20.0,8.0,0.0,0.2537313432835821,1.2985074626865671,1.4029850746268657,,,,,,,,,,,,,,
1,187.0,63.0,6,V8,8a,12,23.0,21,25.0,7.0,17.0,0.3333333333333333,1.3968253968253967,1.3650793650793651,,,,,,,,,,,,,,
1,183.0,84.0,2,V9,7a,12,20.0,15,0.0,8.0,11.0,0.17857142857142858,1.0,1.2380952380952381,,,,,,,,,,,,,,
1,173.0,68.0,8,V12,8a,16,60.0,25,10.0,11.0,17.0,0.36764705882352944,1.1470588235294117,1.8823529411764706,,,,,,,,,,,,,,
1,186.0,73.0,1,V5,0,12,25.0,0,0.0,4.0,0.0,0.0,1.0,1.3424657534246576,,,,,,,,,,,,,,
1,181.0,75.0,15,V9,8a,12,62.0,12,0.0,8.0,17.0,0.16,1.0,1.8266666666666667,,,,,,,,,,,,,,
1,173.0,70.0,0,V4,0,4,0.0,20,0.0,3.0,0.0,0.2857142857142857,1.0,1.0,,,,,,,,,,,,,,
1,178.0,67.0,1,V8,0,20,35.0,0,25.0,7.0,0.0,0.0,1.373134328358209,1.5223880597014925,,,,,,,,,,,,,,
