,age,sex,max_boulder_numeric,max_sport_numeric,exp,trainexp,season,days,height,weight,span,pullup,pushup,continuous,maxhang,weightedpull,repeaters1,longcamp,ohpr,ohll,dl,shortcamp,bmi_score,strength_to_weight_pullup,strength_to_weight_weightpull,strength_to_weight_maxhang,age_group
171,41.0,1.0,0.0,7.0,4.0,2.0,3.0,3.3333333333333335,187.96,79.37866475,180.34,14.0,26.0,12.0,2.2679618500000003,36.287389600000004,35.0,71.8,19.685908857999998,19.232316488000002,90.718474,120.0,22.5,0.17636980974790206,1.457142857142857,1.0285714285714287,40-49
172,40.0,1.0,0.0,11.0,8.0,3.0,3.0,1.6666666666666667,180.34,74.84274105,180.34,22.0,37.0,73.0,40.8233133,40.8233133,205.0,149.4,28.394882361999997,26.036202038,149.6854821,277.2,23.0,0.2939496829131701,1.5454545454545454,1.5454545454545454,40-49
173,27.0,2.0,7.0,9.0,3.0,2.0,4.0,5.0,157.48,55.33826914,157.48,12.0,12.0,69.0,20.41165665,20.41165665,125.0,99.2,17.23651006,17.690102430000003,111.58372302000002,140.0,22.3,0.21684812673922385,1.3688524590163935,1.3688524590163935,20-29
174,23.0,1.0,10.0,17.0,3.0,2.0,4.0,2.9166666666666665,170.18,70.624332009,182.88,23.0,40.0,86.0,58.286619545,49.895160700000005,275.0,171.4,26.217638986000004,26.217638986000004,176.628868878,268.0,24.4,0.32566679706179735,1.7064868336544639,1.8253050738599872,20-29
175,28.0,1.0,5.0,3.0,2.0,1.0,2.0,1.25,177.8,68.0388555,182.88,28.0,35.8,24.0,29.48350405,63.502931800000006,55.0,55.0,25.038298824,25.038298824,161.02529135,69.2,21.5,0.41152955607843816,1.9333333333333336,1.4333333333333336,20-29
176,28.0,1.0,8.0,11.0,3.0,2.0,1.0,1.25,165.1,62.59574706,165.1,20.0,35.0,63.0,38.55535145,49.895160700000005,124.0,101.0,22.498181552000005,22.498181552000005,103.41906036,130.4,23.0,0.31951052490561965,1.7971014492753623,1.615942028985507,20-29
177,29.0,2.0,4.0,7.0,4.0,2.0,2.0,2.5,152.4,49.895160700000005,154.94,5.0,13.0,13.0,4.535923700000001,8.527536556000001,32.0,43.6,10.704779932000001,10.759211016400002,68.58316634399999,83.8,21.5,0.10021011917494435,1.1722449239039627,1.0909090909090908,20-29
178,32.0,1.0,7.0,9.0,5.0,2.0,4.0,4.166666666666667,167.64000000000001,68.0388555,170.18,24.0,50.0,45.0,29.48350405,49.895160700000005,155.0,140.2,24.947580350000003,24.947580350000003,117.9340162,203.4,24.2,0.3527396194958041,1.7333333333333334,1.4333333333333336,30-39
179,25.0,1.0,9.0,9.0,5.0,3.0,3.0,5.833333333333333,170.18,67.13167076,167.64000000000001,25.0,50.0,70.0,56.69904625,42.18409041,20.0,15.0,19.05087954,19.05087954,113.3980925,60.0,23.2,0.3724024699068878,1.6283783783783783,1.8445945945945945,20-29
180,27.0,1.0,9.0,17.0,7.0,7.0,3.0,2.5,177.8,63.502931800000006,187.96,20.0,28.0,67.0,50.34875307,50.34875307,160.0,92.4,24.947580350000003,24.493987980000004,142.42800418000002,174.4,20.1,0.3149460888355394,1.792857142857143,1.792857142857143,20-29
181,28.0,1.0,5.0,9.0,5.0,4.0,2.0,2.5,172.72,66.67807839000001,175.26,17.0,27.0,48.0,27.2155422,38.55535145,94.0,71.8,24.04039561,24.04039561,129.27382545,119.0,22.3,0.25495635762876995,1.5782312925170068,1.4081632653061225,20-29
182,32.0,1.0,8.0,13.0,5.0,4.0,3.0,4.583333333333333,193.04,77.1107029,193.04,21.0,35.0,52.0,37.19457434,47.62719885,235.0,128.0,23.496084766000003,23.949677136000002,150.59266684,234.6,20.7,0.27233573564014285,1.6176470588235294,1.4823529411764707,30-39
183,22.0,1.0,8.0,11.0,3.0,2.0,2.0,2.5,175.26,68.0388555,175.26,18.0,35.0,35.0,36.287389600000004,45.359237,80.0,68.8,22.6796185,22.6796185,56.69904625,86.0,22.1,0.2645547146218531,1.6666666666666665,1.5333333333333332,20-29
184,32.0,1.0,8.0,15.0,7.0,7.0,3.0,6.666666666666667,178.9938,69.39963261,182.372,14.0,18.0,27.0,18.143694800000002,34.926612490000004,60.0,118.2,22.135307656000002,21.228122916,121.10916279,177.0,21.7,0.201730174548254,1.5032679738562091,1.2614379084967322,30-39
185,26.0,2.0,1.0,3.0,1.0,1.0,2.0,1.6666666666666667,161.29,43.09127515,160.78199999999998,4.0,15.0,7.0,0.0,6.80388555,36.0,52.4,10.069750614000002,9.344002822,60.781377580000004,90.6,16.6,0.09282621565679056,1.1578947368421053,1.0,20-29
186,47.0,1.0,0.0,5.0,6.0,3.0,2.0,1.0,167.64000000000001,73.02837157,177.8,11.0,28.0,28.0,9.071847400000001,22.6796185,56.0,106.4,20.411656650000005,20.411656650000005,110.67653828,175.0,26.0,0.15062639031264927,1.3105590062111803,1.124223602484472,40-49
187,29.0,1.0,5.0,5.0,4.0,1.0,4.0,1.25,185.42000000000002,79.37866475,195.58,18.0,40.0,30.0,27.578416096000005,31.751465900000003,80.0,72.6,22.407463078,22.588900026,145.1495584,99.2,23.1,0.22676118396158837,1.4,1.351994970479899,20-29
188,29.0,1.0,5.0,5.0,4.0,1.0,4.0,1.25,185.42000000000002,79.37866475,195.58,18.0,40.0,30.0,27.578416096000005,31.751465900000003,80.0,72.6,22.407463078,22.588900026,145.1495584,99.2,23.1,0.22676118396158837,1.4,1.351994970479899,20-29
