,age,sex,max_boulder_numeric,max_sport_numeric,exp,trainexp,season,days,height,weight,span,pullup,pushup,continuous,maxhang,weightedpull,repeaters1,longcamp,ohpr,ohll,dl,shortcamp,bmi_score,strength_to_weight_pullup,strength_to_weight_weightpull,strength_to_weight_maxhang
372,27.0,2.0,6.0,0.0,8.0,5.0,2.0,6.666666666666667,162.56,65.77089365,167.64000000000001,14.0,35.0,54.0,22.6796185,34.01942775,104.0,73.6,21.590996812000004,22.044589182000003,108.31785795600001,96.4,24.9,0.21286011521298523,1.517241379310345,1.3448275862068966
373,27.0,1.0,7.0,11.0,5.0,3.0,2.0,4.583333333333333,180.34,78.47148001000001,187.96,15.0,28.0,53.0,40.8233133,40.8233133,106.0,77.4,24.131114083999996,24.131114083999996,112.400189286,100.8,24.1,0.1911522504493158,1.5202312138728324,1.5202312138728324
374,31.0,2.0,9.0,11.0,7.0,1.0,2.0,5.0,151.00300000000001,51.255937810000006,151.13,16.0,30.0,74.0,40.8233133,27.66913457,263.0,131.6,20.593093598000003,20.593093598000003,110.67653828,278.6,22.5,0.31215895530602134,1.5398230088495575,1.7964601769911503
375,27.0,2.0,9.0,11.0,7.0,3.0,2.0,6.666666666666667,152.4,52.163122550000004,157.48,21.0,30.0,75.0,45.359237,34.01942775,197.0,119.8,18.506568696,17.962257852,95.2543977,231.0,22.5,0.40258326138108075,1.6521739130434783,1.8695652173913042
376,38.0,1.0,6.0,11.0,7.0,3.0,2.0,4.166666666666667,175.26,74.38914868,176.53,16.0,42.0,59.0,34.01942775,27.2155422,147.0,114.6,24.49398798,24.49398798,106.59420695,173.2,24.2,0.21508513383890493,1.3658536585365855,1.4573170731707317
377,24.0,1.0,5.0,0.0,3.0,2.0,2.0,2.5,180.34,70.30681735,182.88,16.0,24.0,56.0,37.648166710000005,31.751465900000003,92.0,40.0,15.875732950000002,15.875732950000002,29.48350405,76.0,21.6,0.2275739480618091,1.4516129032258065,1.535483870967742
378,33.0,1.0,8.0,0.0,7.0,2.0,3.0,4.166666666666667,172.72,71.21400209000001,180.34,14.0,19.0,22.0,27.2155422,54.4310844,120.0,115.4,20.41165665,20.41165665,100.24391376999999,179.8,23.9,0.1965905522667698,1.7643312101910829,1.3821656050955413
379,45.0,1.0,6.0,11.0,7.0,3.0,2.0,1.25,182.88,70.76040972,187.96,16.0,32.0,38.0,26.30835746,34.01942775,182.0,140.0,24.947580350000003,24.947580350000003,113.3980925,390.0,21.2,0.22611514070243854,1.4807692307692306,1.3717948717948718
380,33.0,1.0,8.0,5.0,7.0,2.0,3.0,3.75,172.72,71.21400209000001,180.34,14.0,19.0,25.0,27.2155422,54.4310844,120.0,28.0,20.41165665,20.41165665,0.0,64.0,23.9,0.1965905522667698,1.7643312101910829,1.3821656050955413
381,46.0,1.0,6.0,0.0,7.0,5.0,1.0,1.25,175.26,73.02837157,180.34,19.0,39.0,59.0,34.01942775,43.09127515,175.0,69.0,25.310454246,24.584706454000003,138.34567285,94.0,23.8,0.260172855994576,1.5900621118012421,1.46583850931677
