,age,sex,exp,trainexp,season,days,height,weight,span,pullup,pushup,continuous,maxhang,weightedpull,repeaters1,longcamp,shortcamp,ohpr,ohll,dl,bmi_score,strength_to_weight_pullup,strength_to_weight_weightpull,strength_to_weight_maxhang,max_sport_numeric,max_boulder_numeric
10,36.0,2.0,6.0,2.0,3.0,5.0,170.18,61.68856232,162.56,0.0,0.0,27.0,2.2679618500000003,0.0,32.0,19.0,26.0,6.80388555,6.80388555,22.6796185,21.3,0.0,1.0,1.036764705882353,5.0,3.0
11,33.0,1.0,4.0,2.0,3.0,3.0,172.72,68.0388555,172.72,14.0,26.0,56.0,56.24545388,45.81282937,165.0,138.8,172.8,24.04039561,24.04039561,138.254954376,22.8,0.20576477803921908,1.6733333333333333,1.8266666666666667,11.0,7.0
12,36.0,2.0,7.0,3.0,2.0,8.0,165.1,58.05982336,172.72,14.0,35.0,27.0,15.42214058,31.751465900000003,92.0,139.4,207.6,20.139501228,19.958064280000002,103.328341886,21.3,0.24113059926470984,1.546875,1.265625,15.0,7.0
13,36.0,1.0,5.0,4.0,2.0,5.0,185.42000000000002,76.65711053,185.42000000000002,16.0,27.0,60.0,33.11224301,42.18409041,205.0,90.0,149.0,24.312551032000002,23.858958662,145.60315077,22.3,0.2087216683407125,1.5502958579881656,1.4319526627218935,11.0,4.0
14,35.0,2.0,5.0,3.0,3.0,3.0,165.1,55.33826914,171.45,9.0,34.0,53.0,22.6796185,15.875732950000002,260.0,93.0,163.0,21.590996812,22.498181552,118.84120094,20.3,0.1626360950544179,1.2868852459016396,1.4098360655737705,9.0,7.8
15,54.0,2.0,6.0,2.0,3.0,5.0,154.94,45.359237,154.94,7.0,12.0,37.0,4.535923700000001,6.80388555,97.0,92.0,156.0,12.70058636,12.700586359999999,73.93555631000001,18.9,0.1543235835294143,1.15,1.0999999999999999,9.0,3.2
16,43.0,1.0,2.0,1.0,2.0,5.0,177.8,130.63460256000002,180.848,0.0,10.0,0.0,0.0,0.0,0.0,15.0,15.0,15.966451424000002,15.512859054,77.74573221800001,41.3,0.0,1.0,1.0,1.0,1.0
17,34.0,1.0,4.0,2.0,3.0,4.0,185.42000000000002,71.66759446,185.42000000000002,19.0,29.0,49.0,36.287389600000004,36.287389600000004,200.0,84.0,185.0,20.320938176000002,19.867345806,147.14536482800003,20.8,0.26511284693118187,1.5063291139240507,1.5063291139240507,15.0,5.0
18,37.0,1.0,7.0,2.0,3.0,4.0,175.26,67.13167076,182.88,13.0,17.0,50.0,27.2155422,28.576319310000002,120.0,120.2,197.4,20.41165665,18.143694800000002,133.80974915000002,21.9,0.19364928435158163,1.4256756756756757,1.4054054054054055,6.6,9.0
19,29.0,1.0,5.0,2.0,3.0,9.0,177.8,74.84274105,185.42000000000002,13.0,30.0,30.0,20.41165665,31.751465900000003,87.0,77.0,115.0,21.046685968000002,20.139501228,132.90256441,23.7,0.17369753990323689,1.4242424242424243,1.2727272727272727,9.0,6.0
